ATE,ARE,RTE,RRE,RIR,RUNTIME
SIFT,0.9004,18.6182,0.0439,0.9655,0.8556,0.0381
Shi-Tomasi,0.0531,1.3497,0.0025,0.1939,0.9317,0.0525
CenSurE,0.1327,2.9991,0.0035,0.2395,0.9442,0.0560
ORB,0.6010,8.5554,0.0352,1.0106,0.9149,0.0387
AKAZE,0.7790,21.2625,0.0411,1.0726,0.8808,0.1869
SIFT+BRIEF,0.1168,2.3420,0.0058,0.3269,0.9705,0.4775
SIFT+SIFT,0.1188,1.5841,0.0063,0.3502,0.9671,0.6229
Shi-Tomasi+BRIEF,0.3198,8.5769,0.0058,0.3938,0.8069,0.0456
Shi-Tomasi+SIFT,0.3799,7.4495,0.0065,0.4418,0.6781,0.5857
Shi-Tomasi+ORB,0.2549,4.1632,0.0071,0.4348,0.8541,0.0503
CenSurE+BRIEF,0.2075,1.7042,0.0143,0.4844,0.9177,0.0520
CenSurE+SIFT,0.1224,2.7603,0.0104,0.4853,0.9316,0.1328
CenSurE+ORB,0.3306,4.2918,0.0084,0.4652,0.9339,0.0575
ORB+BRIEF,1.1053,39.1543,0.0535,1.6767,0.8354,0.0917
ORB+SIFT,1.0445,24.8399,0.0412,1.3962,0.5876,0.7777
ORB+ORB,1.8706,54.1205,0.0672,2.1939,0.7567,0.0357
AKAZE+BRIEF,0.6870,10.0620,0.0266,0.8476,0.9522,0.2685
AKAZE+SIFT,0.5540,7.9897,0.0195,0.7363,0.9560,0.4255
AKAZE+ORB,0.2321,6.5168,0.0212,0.6309,0.9557,0.2877
AKAZE+AKAZE,0.4559,5.9191,0.0155,0.6996,0.9523,0.2680
